Signal Recording: Id=eda68de99dee4e9299d31c34fee9a5f9 (started 16:02:56 and finished 16:03:15)

Time	J1	J2	J3	J4	J5	J6
5.928	128.687935661669	50.6231354864651	6.90648323681544	43.5120445415518	-65.215581931198	158.320943602201
5.952	128.893688280226	50.4519231345404	7.30511100602395	43.664835873285	-65.4299883994339	158.438559459708
5.976	129.252327853165	50.1535019244188	7.99993163613737	43.9311483641184	-65.8037090300603	158.643615398971
6	129.731656868738	49.7546393674575	8.92859574531721	44.2870968425244	-66.3032144244417	158.91765624885
6.024	130.270695398036	49.3061008446628	9.97292483922299	44.6873766637384	-66.8649223515944	159.225848044579
6.048	130.810430606629	48.8569680954103	11.0186250936046	45.0881789944239	-67.4273679391774	159.53443599128
6.072	131.350807853003	48.4073162517808	12.0655436829795	45.4894491930676	-67.99047605511	159.843392768197
6.096	131.891799816403	47.9571418986799	13.1136780460266	45.8911838445748	-68.5542330390136	160.152691054572
6.12	132.433433817585	47.506448451202	14.1630256214251	46.2933863640402	-69.1186457210776	160.462358171162
6.144	132.975682535793	47.0552324942526	15.2135821403066	46.6960499212746	-69.6837072711128	160.772380457588
6.168	133.518559631404	46.6034940278317	16.2653561404077	47.099181346467	-70.2494176891191	161.082757913852
6.192	134.062092425175	46.1512125613718	17.3183954330526	47.5027977150906	-70.8158179562316	161.393517860709
6.216	134.606280917106	45.6983880948729	18.3727017257884	47.9068990271452	-71.3828944120719	161.70466029816
6.24	135.15111144682	45.2450172132404	19.4282750186153	48.3114886977255	-71.95064705664	162.016144245069
6.264	135.696597674694	44.7911067466634	20.4851118964387	48.7165564815477	-72.5190895503143	162.328024342951
6.288	136.242739600728	44.3366532800474	21.5432140668058	49.1221160389902	-73.0882082327165	162.640273271047
6.312	136.789550885301	43.881636322825	22.6026190957571	49.5281707851474	-73.6580304246031	162.952918350115
6.336	137.337058849169	43.4260524599013	23.6633474738601	49.9347377954924	-74.2285561259743	163.265932259398
6.36	137.885236171576	42.9699016912766	24.7254043237566	50.341810239836	-74.7998058273975	163.579342319654
6.384	138.434110173278	42.513173771667	25.7887930605413	50.7493915332728	-75.3717726986835	163.893162191259
6.408	138.983667193898	42.0558755312618	26.8535102691196	51.1574816758027	-75.9444499096432	164.20735089308
6.432	139.533920893812	41.5980035549662	27.9195730249644	51.5660909127095	-76.5178442904658	164.52194940625
6.456	140.085308405129	41.1393324465378	28.9876882526547	51.9755368477897	-77.0924339543931	164.83721727796
6.48	140.634127765318	40.6603381102339	30.0718236890433	52.383278650672	-77.6636563350596	165.149507187191
6.504	141.151227727001	40.0848229556741	31.2093677896469	52.7685354708065	-78.1980776564781	165.435582830388
6.528	141.573702247923	39.3622299226217	32.374557080916	53.0854699086735	-78.6269520646524	165.652632581833
6.552	141.856349136157	38.4864698974319	33.5206901444008	53.3009282260415	-78.9018876693129	165.771942326254
6.576	141.984333220824	37.460838446379	34.6274779031718	53.4039513843874	-79.0071272240445	165.784455232814
6.6	141.96897895557	36.278218512348	35.7146766794032	53.4029268560119	-78.9545347674354	165.696755603871
6.624	141.834137360976	34.9857110798552	36.7659691511678	53.3149950006371	-78.7710212448155	165.526957101104
6.648	141.620611987143	33.6800794388722	37.7382602398974	53.1693207260191	-78.5031070746217	165.306956707938
6.672	141.377170384745	32.3732764204466	38.6769570431944	53.0016634875574	-78.2032412794906	165.068159634176
6.696	141.132239801108	31.0615966469536	39.6184747146185	52.8329441546797	-77.9016201257429	164.828092145229
6.72	140.885943179638	29.7425641748191	40.5652721222711	52.6632822556966	-77.5983119152701	164.586672278825
6.744	140.638239539198	28.4160748436582	41.517424398233	52.4926607151351	-77.2932824971265	164.343900034966
6.768	140.389142540168	27.0820244930861	42.4749998443958	52.3210624575223	-76.9865250411229	164.099734432517
6.792	140.138611201412	25.7403038400761	43.4380804230297	52.1484840677636	-76.6779985661243	163.854175471477
6.816	139.886604541795	24.3907609129192	44.4067754171614	51.9748982251023	-76.3676757513739	163.607168510332
6.84	139.633122561317	23.0332232493387	45.381214600385	51.8002844389709	-76.0555087855476	163.358727209462
6.864	139.378110618466	21.6675918115917	46.3614628594977	51.6246256338965	-75.7414840082671	163.108769606596
6.888	139.121582373618	20.2937658543881	47.3475850812967	51.44791497969	-75.4255740987757	162.85733668287
6.912	138.86349684564	18.9116412173429	48.339670058241	51.2701388159729	-75.1077585665059	162.604373796769
6.936	138.603826713775	17.5210112872337	49.3378612243034	51.0912629917994	-74.7879827699442	162.349867287916
6.96	138.342544657265	16.121773611223	50.3422268813754	50.911284092075	-74.4662330487124	162.093762514797
6.984	138.079637015733	14.7138393968516	51.3528387464434	50.7301884564213	-74.1424752518646	161.836073137791
7.008	137.815103789178	13.2971207054339	52.3697514610207	50.5479590093653	-73.8167093794009	161.576799156898
7.032	137.548890336088	11.8714706879028	53.3930777232287	50.3645855056234	-73.4888807898078	161.315872270225
7.056	137.280149713005	10.4366161366914	54.4223667405821	50.1838587001849	-73.1581766905741	161.049139722757
7.08	136.986164710749	9.00649661412215	55.4275793411113	50.1270110357229	-72.8040518726764	160.651171920577
7.104	136.62061298637	7.62225376466057	56.3364145573569	50.4542932101824	-72.3852656539063	159.856233523836
7.128	136.160627066526	6.32905861749574	57.091679800304	51.319118102511	-71.8828574291276	158.514388219874
7.152	135.604676988844	5.16591624854347	57.65838059574	52.7682622632397	-71.2975033870684	156.588015326742
7.176	134.884501842758	4.03907334682206	58.063663530521	55.0290070671898	-70.5600410321929	153.803429164398
7.2	133.916814301529	2.89888169414151	58.28454501809	58.44435778429	-69.5895804341608	149.777114610945
7.224	132.880565321411	1.94421889677283	58.2905487543705	62.3706647079152	-68.564935945443	145.262701079025
7.248	131.856883889366	1.14266727608957	58.1739710856167	66.3922322798945	-67.5604746657226	140.695312599903
7.272	130.84037415595	0.379076566152765	58.0302160941555	70.4182736257801	-66.5648174998423	136.135314385462
7.296	129.823878082912	-0.384514090423183	57.886454272505	74.4443149716658	-65.5691603339621	131.575316171022
7.32	128.807368349496	-1.14810485372084	57.7426924508546	78.4703563175515	-64.573509998271	127.015317956581
7.344	127.790872276458	-1.91169545693593	57.5989374593933	82.4963976634372	-63.5778528323907	122.455333402519
7.368	126.774362543041	-2.67528606015103	57.4551756377429	86.5224390093229	-62.5822024966996	117.895335188078
7.392	125.757866470003	-3.43887666336613	57.3114206462817	90.5484803552085	-61.5865521610085	113.335330143448
7.416	124.741356736587	-4.20246726658122	57.1676656548204	94.5745217010942	-60.5908949951283	108.775331929008
